true_angl,true_le,pred_angl,pred_le,err_L,err_A,PSNRs
164,14,164,13.474,0.53,0,26.19
84,17,83,16.516,0.48,1,24.9
146,6,147,5.626,0.37,1,29.56
75,9,75,9.143,0.14,0,28
166,12,166,11.378,0.62,0,26.44
54,16,53,15.515,0.48,1,25.2
147,13,147,12.8,0.2,0,26.52
147,8,148,8.127,0.13,1,28.84
108,13,109,12.8,0.2,1,25.51
140,18,140,17.655,0.34,0,25.1
143,21,143,20.59,0.41,0,24.76
160,10,159,9.66,0.34,1,27.82
175,18,175,17.067,0.93,0,24.78
33,22,33,22.086,0.09,0,24.41
137,15,137,14.629,0.37,0,25.38
21,20,21,19.027,0.97,0,24.46
63,16,63,15.515,0.48,0,25.05
40,23,40,22.336,0.66,0,24.01
118,16,118,15.515,0.48,0,24.82
81,13,79,12.488,0.51,2,25.44
